location_id|city|state|country|postal_code
1|Port Benjaminfort|Connecticut|Aruba|26752
2|Port Christian|Kentucky|Ecuador|09178
3|South Joseph|Alabama|Bouvet Island (Bouvetoya)|03730
4|Jordanstad|Pennsylvania|Finland|20186
5|Rebeccaside|South Dakota|Micronesia|95119
6|New Kristen|Arizona|Marshall Islands|16681
7|Waltersview|Kansas|Sierra Leone|15699
8|Phillipfort|Oklahoma|Guam|67407
9|Daviesshire|Iowa|Isle of Man|82791
10|Gilbertborough|Minnesota|Cote d'Ivoire|76794
11|East Karen|Colorado|Congo|58013
12|East Clintonview|Utah|Latvia|26055
13|Maryport|Indiana|Moldova|68348
14|Jamesside|Alabama|Burundi|28130
15|West Michaelport|Nevada|Congo|33165
16|New Stephanie|Indiana|Brunei Darussalam|97098
17|Port Amanda|North Carolina|New Zealand|54402
18|New Stacyview|Hawaii|Marshall Islands|47193
19|Millsberg|Alabama|Tokelau|69260
20|East Kristiland|Maryland|Slovakia (Slovak Republic)|61023
21|Lake Bobby|Missouri|Macao|18039
22|Perezfurt|Idaho|Cook Islands|41671
23|Port John|Alabama|Senegal|45116
24|East Jaredmouth|North Dakota|Nigeria|86202
25|New Danielshire|Maryland|Puerto Rico|28154
26|Kristinaville|New Hampshire|Sierra Leone|07598
27|Cunninghammouth|California|Liechtenstein|60223
28|Higginsberg|Florida|Gabon|68374
29|Port Dennisburgh|Nevada|Equatorial Guinea|24647
30|Maxwellfurt|Iowa|Venezuela|74994
31|West Samantha|Iowa|Malaysia|33389
32|East Dustin|New Jersey|United States Minor Outlying Islands|33264
33|West James|Iowa|Western Sahara|04341
34|Kimberlyport|Iowa|Liechtenstein|79619
35|East Susanton|Virginia|Kuwait|26603
36|Thomasville|California|American Samoa|68425
37|Kaylastad|Nevada|Iraq|77411
38|West Bruce|Vermont|Canada|24223
39|Lake Nataliestad|Missouri|San Marino|08599
40|Gallowayshire|South Dakota|Germany|18789
41|Andrewview|Virginia|Kazakhstan|09586
42|Seanmouth|New York|Kyrgyz Republic|51842
43|North Amymouth|Georgia|Peru|38811
44|South Lisa|Idaho|Portugal|04604
45|New Kelly|North Dakota|Svalbard & Jan Mayen Islands|85928
46|Kristinton|Nevada|Hong Kong|11954
47|East Madisonland|Utah|Equatorial Guinea|21890
48|South Brian|Delaware|Yemen|73983
49|Weststad|Oregon|Kenya|61859
50|Keithton|South Dakota|Syrian Arab Republic|90880
