interaction_id|date_id|customer_id|channel_id|location_id|interaction_type|interaction_rating
82777|1114|13|2|24|Email|5
61184|1044|21|2|27|Email|2
42189|1189|46|5|48|Chat|1
90153|1304|43|5|16|Call|4
70480|1084|41|1|7|Email|4
64163|888|46|5|26|Call|2
57893|1297|6|5|25|Chat|1
35535|355|75|1|25|Call|1
62116|581|55|2|49|Email|3
62508|774|29|4|14|In-Person|3
46487|515|26|1|26|In-Person|3
73743|742|15|1|33|Call|5
18997|1716|73|1|4|Email|4
96840|1159|62|1|44|Email|1
73713|183|31|4|4|Chat|4
51189|1357|69|2|28|Call|3
4523|575|8|3|26|Email|1
44280|1730|16|5|7|Call|3
1905|726|90|2|35|Email|5
96842|1456|74|2|22|Email|3
21077|1315|40|1|31|Email|2
27625|134|35|1|14|Email|2
58369|458|27|3|41|Call|1
45949|315|15|2|21|Chat|5
61719|1687|18|1|13|Email|4
75665|229|44|2|43|In-Person|1
16469|465|28|5|39|Chat|5
2663|744|78|4|46|Email|5
89111|1559|52|4|30|Email|2
21928|1799|48|5|25|Call|4
82271|319|89|4|35|Chat|2
84717|1212|45|4|36|In-Person|3
45660|1382|3|5|2|In-Person|1
80543|1592|67|1|4|In-Person|3
69579|834|91|2|27|Chat|5
13643|1813|63|2|33|Call|1
74321|675|71|3|24|Email|1
55613|650|48|4|18|Call|2
76438|549|99|1|15|In-Person|3
78469|764|16|5|5|Chat|3
14766|172|80|1|17|Call|5
45230|978|11|3|10|In-Person|2
56692|46|68|4|10|In-Person|4
34397|350|58|2|49|Call|4
87633|1523|57|3|46|Chat|5
70426|1563|81|1|23|Call|2
70685|182|33|3|26|In-Person|5
26273|642|57|5|43|Email|3
51685|1392|41|1|2|In-Person|5
22405|119|98|2|20|In-Person|4
14038|304|75|4|21|Chat|2
79584|500|15|2|30|Call|2
44997|651|12|3|45|Call|4
47061|1571|92|3|40|Call|3
71109|991|7|1|38|Call|2
77049|91|65|3|36|Call|2
22751|1737|92|1|8|In-Person|4
37458|36|53|2|46|In-Person|3
74459|107|78|1|44|Email|4
26705|1817|58|4|38|Chat|2
18838|45|78|1|22|Email|4
81241|365|13|4|35|Email|2
54361|228|53|1|46|Call|4
38003|889|79|5|18|In-Person|4
12904|924|53|1|33|In-Person|4
8831|579|42|2|32|Email|4
80671|1479|64|4|33|Email|1
66471|1794|8|3|36|In-Person|2
38143|1688|76|1|43|In-Person|1
91955|807|65|3|9|Chat|4
20200|307|20|2|32|Email|1
82743|581|13|3|24|Email|5
75875|1006|99|5|21|In-Person|2
71089|690|67|2|29|Call|5
54163|1266|29|4|37|Chat|3
84669|1579|9|2|9|Call|4
41129|637|25|3|13|Chat|3
22399|1702|68|2|29|In-Person|3
88676|773|91|4|34|Call|2
20262|1498|64|5|14|Chat|5
79602|1048|100|5|20|Email|4
12253|229|13|4|19|Email|5
48293|336|33|3|9|In-Person|3
72451|302|54|1|20|Chat|4
30598|1133|20|5|37|Chat|5
20402|1261|53|5|50|Email|5
17637|548|72|1|15|Chat|1
95623|113|96|1|26|In-Person|1
72688|1402|15|1|32|In-Person|5
5730|584|55|3|18|In-Person|1
78156|1798|22|4|2|Chat|1
82065|567|30|1|42|In-Person|3
13709|1775|47|5|23|Chat|5
73047|1571|17|4|3|Chat|2
40927|1467|8|2|21|Chat|1
9304|1398|22|4|49|Call|4
35038|1009|8|2|22|Email|4
32518|416|29|3|50|Email|3
46092|1647|31|1|38|Chat|1
8168|1599|9|5|25|In-Person|4
85402|619|82|3|5|Chat|4
63726|85|27|5|25|In-Person|5
75746|789|69|5|38|Email|5
261|638|91|4|48|In-Person|4
14786|751|2|1|1|In-Person|5
12960|1134|7|5|15|Email|4
22526|1125|27|1|50|In-Person|5
92792|962|88|2|26|Email|1
44956|1|11|3|41|Chat|5
63017|173|21|3|37|Call|5
5587|1390|46|3|18|Call|3
94483|317|89|3|40|Email|4
50750|1499|6|2|35|Email|4
38850|246|14|4|35|Call|2
92400|481|19|1|7|Email|4
65502|483|55|2|31|Call|5
71911|1634|1|1|46|In-Person|2
13588|858|28|2|49|Call|2
78790|1477|8|3|1|In-Person|5
