balance_id|date_id|account_id|currency_id|opening_balance|closing_balance|average_balance
66773|1665|95|1|97648.39|590261.52|731758.835
3563|1066|51|2|721775.5|3146.45|497258.935
86515|1730|58|3|39139.72|736734.62|392385.625
69695|1591|87|2|119942.82|242160.67|169216.07
66801|667|30|1|539245.75|52019.34|684704.145
13243|253|86|1|348466.01|626750.01|674346.325
39422|17|69|3|440204.62|799361.07|687291.495
97131|840|90|1|890664.92|966550.83|348391.26
20333|1232|64|1|302154.43|126471.71|792141.99
66849|1405|8|3|519433.94|444558.39|623521.42
58081|1654|90|3|707462.64|352885.22|496660.495
98505|1170|8|3|254288.55|29258.81|800407.84
56947|318|3|1|47345.96|524226.79|467603.815
71700|638|67|3|892494.15|191293.02|730443.045
24917|101|49|3|80263.68|111170.54|434250.77
38916|1679|98|1|494532.6|542501.26|634655.29
62385|1419|63|2|472048.13|999753.0|305448.42
63646|200|43|1|499489.25|588053.37|647565.725
38014|1507|92|3|243561.4|977755.31|331167.085
4402|1554|93|2|683407.19|980862.43|754259.765
10831|354|58|3|995943.77|477464.22|258159.35
29033|1494|43|2|242072.0|367979.43|519034.25
55569|466|73|3|511309.82|126110.37|141257.555
79774|977|56|3|62010.59|72751.55|138450.055
72920|382|53|3|332455.9|58807.47|848111.23
30351|364|54|3|687309.65|644473.73|285707.76
10950|561|77|2|928504.34|397749.03|676645.93
7957|1401|100|1|906599.36|639322.09|464092.43
3380|624|51|1|556838.4|703253.88|342299.81
75898|1628|94|1|17004.11|251409.49|292810.735
7926|1632|86|3|917152.86|491537.91|687740.805
21744|1366|41|3|421570.0|367222.94|815981.43
95417|465|18|1|911081.42|835891.42|345428.765
13175|1512|49|2|3506.25|317644.49|253112.02
49418|1770|7|1|294559.1|221826.53|632677.88
94475|414|6|3|628988.62|430062.57|103391.685
80177|1361|15|1|395770.82|154368.98|93054.36
6947|1597|88|1|221986.05|496126.86|391660.775
14876|443|69|1|736023.18|328609.45|787636.605
56476|525|56|1|489068.81|325307.85|459674.17
84909|1330|86|2|39560.59|255290.06|639427.595
78739|1571|100|1|746124.08|88583.4|260702.1
86339|52|8|2|151197.7|917613.59|929205.18
84430|385|14|1|1911.03|574377.8|500722.565
41438|1776|45|1|372181.82|627012.52|210299.245
24892|569|62|1|156888.3|975928.66|795290.235
59900|929|52|3|819712.74|431773.62|576253.62
27163|1581|49|1|961336.98|992480.49|321412.555
15065|1484|36|3|211473.45|865546.29|645257.285
96204|686|10|1|621109.85|7669.79|489064.82
5476|1536|52|2|838011.3|232288.01|598424.325
73447|401|84|1|363053.78|337052.95|651071.45
8688|59|100|2|803804.15|300202.97|204414.12
92541|546|50|3|926192.9|614872.81|449730.3
49359|1399|54|3|836361.35|51183.79|155106.525
91081|1660|87|3|787448.21|338502.8|945827.33
26421|1583|36|3|436689.06|521929.03|797262.63
60048|1042|30|1|854279.15|683321.2|105057.805
4118|887|56|2|57900.32|618370.55|268497.605
91504|977|89|2|802434.7|360345.69|40463.57
28292|1309|85|3|26552.74|452403.14|576957.71
52607|430|29|1|207835.81|442945.16|300040.695
34387|523|82|3|38272.27|790293.51|759338.735
48055|1450|16|3|959963.76|141162.74|440468.935
90229|73|8|3|997099.54|429225.35|587283.77
32256|479|98|1|584576.36|995934.77|435544.82
51188|194|6|1|158422.45|320233.75|838979.81
83745|353|44|2|830430.56|850750.48|635229.115
66283|1098|54|3|593023.22|797706.29|697504.315
43645|562|53|2|677206.25|634647.35|765842.975
48748|1224|83|1|407115.23|223127.98|528348.505
89234|622|3|3|72261.27|600753.0|788143.58
7940|1400|15|3|843588.9|259845.54|369339.35
22383|879|93|3|32074.66|943840.77|517441.61
75187|944|77|2|407651.02|761572.46|195600.415
17119|1240|93|2|918552.84|59691.53|614495.58
97425|1634|9|1|29792.13|384183.14|501033.285
23734|1580|93|1|520977.83|303802.21|483542.41
60731|1389|76|2|38246.33|604191.46|373699.03
5209|1475|69|3|838733.43|320812.87|887657.385
62828|961|76|2|98967.85|879343.9|383492.965
61917|1473|50|1|822677.01|607859.69|351365.415
94070|541|84|2|110470.71|967719.48|615002.5
12265|347|31|2|587003.04|670201.95|601994.36
26203|736|58|3|6829.33|168348.33|455349.985
1697|261|95|1|563145.78|819047.08|215609.78
50641|460|67|2|936028.35|883731.56|882972.755
67560|1780|41|3|680356.01|910959.56|317454.165
75402|1712|11|1|254510.4|769391.33|733573.205
14755|595|47|2|883226.38|144112.23|231062.765
60346|1821|57|1|429194.87|720935.5|773421.755
27943|558|9|2|468704.44|291419.81|604594.72
54205|265|77|2|452100.44|367804.87|347579.31
41467|706|13|2|315261.21|853778.3|447053.935
43317|907|86|2|781368.96|566134.73|473461.13
90999|44|93|3|861127.06|544982.33|690996.525
81127|629|43|2|171011.02|952265.5|538282.75
76489|215|20|3|769515.91|452415.73|363550.64
83450|1649|36|3|545922.01|812788.8|819382.245
39211|722|64|1|379586.82|405125.96|671353.81
49567|1117|38|3|541091.81|713723.7|291292.305
47706|360|14|2|142331.31|44548.01|370362.445
93022|1121|95|2|158766.66|164668.63|428553.815
65321|576|81|1|222821.77|130424.27|518732.195
55588|1806|25|3|210937.45|243002.39|792741.47
19532|991|51|3|879676.24|507341.35|791553.055
56658|1205|4|3|69083.02|398304.42|729557.87
61123|1733|72|1|440534.48|859594.12|597987.45
84733|379|45|1|272235.74|92417.78|288783.525
10415|951|26|2|131275.51|814946.41|868744.825
24555|630|39|2|900591.71|642130.14|398745.26
46481|1637|84|1|931071.08|172845.6|224195.74
58009|1489|4|3|186821.17|584267.12|259062.23
60061|1536|33|3|289482.5|754615.39|615174.835
11533|515|34|1|663649.83|101399.3|227201.645
90557|1272|11|1|554724.39|288778.77|717268.65
64193|1376|68|3|580843.57|905752.05|461936.695
15921|761|55|1|431765.14|116894.15|735108.835
98376|99|22|1|499346.67|637290.28|425015.46
12423|659|47|3|898864.85|24354.22|632967.96
75427|714|20|3|458578.75|322449.38|348941.685
79803|404|97|1|361425.55|140746.47|780260.93
97937|1241|25|2|464202.81|34307.99|679580.695
55783|1542|27|2|628024.75|383212.2|476819.16
43250|1719|14|1|765272.83|960785.4|128764.155
22303|936|71|1|494725.18|268524.65|769875.28
16830|750|19|3|570892.02|123207.09|575197.565
52558|1701|26|1|802596.21|913689.57|308303.26
18135|17|39|3|296634.4|502465.24|374066.67
87705|571|9|3|690482.36|253824.78|498604.9
7595|305|57|3|777514.78|871886.77|748076.675
80973|635|47|2|793519.4|814726.65|416073.0
7939|1439|21|3|335882.41|635272.38|450606.305
37266|1085|80|3|947987.82|435683.94|399114.205
82859|27|93|2|380285.58|701174.27|346353.055
45874|421|54|1|713670.31|401072.26|914531.96
35098|930|57|2|401842.77|249804.92|773116.78
