investment_id|date_id|investment_type_id|account_id|location_id|currency_id|investment_amount|investment_return
69734|1560|5|82|33|3|404740.36|817.15
66448|1531|1|56|5|1|804930.86|-4957.81
15954|1773|2|88|35|1|731474.25|-2523.15
19147|569|2|62|27|2|902087.1|-1944.19
40012|1386|3|84|46|3|981241.6|7073.35
78764|1565|5|33|9|3|235422.98|14376.85
30130|1734|5|3|27|1|777533.38|-4999.24
31932|877|3|90|43|2|662601.66|13745.01
26061|620|4|25|11|1|7419.63|10135.25
43586|962|2|80|24|2|34014.85|-4453.97
83010|1284|1|29|48|3|151362.58|494.66
79125|1310|5|30|6|2|402688.2|10612.93
78201|904|5|49|5|3|146206.71|-1684.64
99254|176|2|47|33|3|168784.91|10943.15
76266|948|5|40|34|2|136337.24|-3456.67
3372|1158|1|39|21|3|620745.16|12373.73
30153|1808|3|60|41|2|393864.85|-3739.88
75953|1005|4|49|6|2|524762.13|12568.4
10798|121|1|3|48|1|270283.26|134.67
598|1624|3|61|12|1|898484.41|8272.68
97674|1067|4|4|39|2|356187.93|-2856.77
28049|1318|2|93|19|2|152176.53|13091.8
76749|541|3|50|16|1|902785.52|-1761.23
42119|636|4|26|38|3|916054.63|5253.34
32810|518|4|11|36|2|687137.59|-76.15
87180|1323|1|57|28|2|216641.74|12100.68
67655|580|5|15|9|1|666525.35|-1960.3
82229|190|3|4|31|1|718912.12|2635.11
4625|451|4|80|5|2|438076.13|8028.94
3757|633|1|57|14|1|704675.62|-2349.0
99052|1369|3|61|10|2|531995.36|-2020.98
22637|1022|5|13|2|1|684505.01|227.58
79065|1245|5|35|4|2|897967.54|14433.12
46106|869|3|27|34|2|890679.81|9186.73
50937|659|4|99|41|3|126674.83|7904.26
80787|1550|2|73|27|3|948530.29|13632.24
72028|1745|3|15|12|3|158867.72|3227.69
12174|1486|3|2|43|3|810100.54|-4376.45
48723|1609|2|72|45|1|524784.42|2691.77
57902|342|4|62|1|3|194391.78|13297.03
23871|639|3|90|27|3|468314.66|-3343.32
38071|1209|4|21|35|2|787853.03|2085.87
1594|924|5|96|47|3|509009.85|6006.27
1598|1186|4|34|26|2|963930.27|13835.46
42104|399|1|72|44|2|100252.58|-3900.07
36882|132|3|36|27|3|634498.15|-387.09
43609|88|5|75|18|2|338895.82|7248.88
85071|1415|2|84|15|3|804835.23|5150.02
86224|810|1|15|2|1|391132.6|3543.39
45308|1474|2|19|9|3|978600.99|-3667.1
61744|303|1|54|25|2|249704.86|5232.64
92025|1711|3|81|41|2|826002.15|3717.08
78164|1327|4|96|14|3|407128.93|3680.65
88809|1026|1|52|49|1|953703.92|-4530.79
29029|1147|5|97|26|1|518748.34|2315.99
58345|823|3|61|9|1|304288.24|4183.21
16670|316|3|63|3|1|983959.82|-4785.39
72486|319|2|44|27|2|110160.6|6125.47
57103|462|4|14|16|3|62335.4|668.98
99687|1298|2|5|24|3|970064.35|-1272.44
73505|1031|1|55|30|2|349134.73|-896.68
56909|857|1|5|9|1|366529.98|5532.79
12495|1314|1|3|49|3|680016.9|-1421.02
69568|1642|1|80|39|3|702037.91|9708.71
52610|1071|5|78|26|1|306637.76|7068.88
23812|1132|5|2|19|1|400039.6|4604.09
9247|1725|4|92|23|3|242942.78|344.42
7826|89|5|41|35|3|90444.52|1637.36
91075|1010|4|93|18|1|444547.79|-1694.69
84389|236|5|83|20|1|981322.1|14230.74
17643|1752|1|66|46|2|870318.57|13242.55
76836|1141|5|12|6|2|69830.91|12763.43
53933|1722|5|11|1|1|852708.69|-1006.64
60541|1083|1|65|48|1|629508.02|10912.56
24058|1359|2|62|29|1|49326.76|2773.76
67256|989|4|15|29|2|127804.15|-4457.59
84791|1283|5|4|15|3|365388.95|7633.96
32503|620|3|49|47|2|56138.84|7491.26
14999|148|2|31|31|3|653633.62|4757.15
1555|220|4|45|49|2|509317.39|12556.83
3751|1563|2|36|3|1|797619.6|1806.62
28466|1039|5|71|39|1|15952.91|1151.41
44429|1715|2|85|12|3|92349.06|2431.98
94861|1271|5|13|42|3|914195.72|-4618.48
96063|63|4|60|26|2|834111.62|11379.09
43790|321|3|44|7|3|528869.41|14565.02
50878|1001|3|61|46|1|694172.52|11614.22
80161|184|2|61|47|2|759967.52|-1181.62
17122|1569|5|97|12|2|682740.47|-3946.38
90586|100|2|57|50|3|157046.85|1637.29
20893|1529|3|62|39|1|504912.54|8990.42
75811|731|2|62|20|1|600563.8|5629.71
4283|938|3|48|21|3|665083.2|497.65
96189|891|1|17|15|3|414366.67|-3484.13
57121|780|1|83|13|3|934806.49|1619.54
79752|1214|5|77|40|3|670596.77|3562.04
78360|1789|3|48|36|1|541249.46|6021.58
77874|333|1|63|31|1|533146.32|13940.78
56167|916|5|20|46|2|921218.5|4083.16
5667|1637|5|1|29|2|816883.17|10367.26
55507|366|3|49|7|1|801404.0|5951.98
84149|353|3|90|43|2|297424.1|2182.04
18289|1522|2|25|50|2|557443.88|10939.84
43500|548|4|78|1|2|40581.83|5352.53
2947|514|2|68|40|1|594747.16|4219.85
75114|1111|3|10|9|3|377451.35|10131.97
58553|574|2|23|14|1|234889.44|-2210.51
14017|1200|4|17|13|1|998642.53|7064.27
63857|42|2|67|22|1|975001.73|-724.43
70089|1824|3|3|23|2|761035.06|-2591.42
48143|534|5|16|39|1|317681.76|7196.61
26118|656|5|69|43|3|912223.91|-236.31
80033|1453|4|82|25|1|269413.64|109.91
41075|846|2|73|35|1|354513.33|10006.03
21042|158|1|92|42|2|880367.29|4409.81
81869|1311|3|43|21|1|382033.8|-471.54
22283|1776|4|67|44|3|856152.56|4904.56
81551|796|5|74|38|3|318763.01|8247.6
38670|1434|2|100|10|1|122459.95|-869.8
71879|288|3|42|1|3|589883.88|10910.2
23116|346|5|44|24|3|858517.49|9414.06
76620|1035|1|75|4|2|534148.82|9619.65
43937|265|1|28|17|2|565581.23|-3893.16
95439|1826|3|29|27|3|4149.53|8668.91
93315|760|3|81|39|2|487765.96|14530.5
39592|1225|1|47|8|2|211829.62|1327.52
46684|1735|1|88|14|2|716315.52|12194.73
32633|534|5|81|43|2|176409.3|5215.61
89205|929|2|8|29|3|672588.66|1555.08
15553|60|1|85|22|3|734618.07|-3108.67
26299|771|5|39|46|1|261657.65|8286.85
70133|596|4|60|8|2|39308.07|2646.12
88013|844|1|61|30|1|818087.26|14155.05
60739|66|3|29|50|3|591536.57|9689.61
35344|681|1|35|8|2|253331.65|-3806.8
27594|1526|2|52|43|1|329338.26|7915.55
97531|512|3|55|49|1|796328.44|-1153.77
20417|82|4|24|49|3|672902.75|8456.79
11270|320|5|30|32|2|663882.33|-538.76
99967|498|3|88|27|2|548317.35|3562.28
91151|1311|3|6|34|1|218384.4|12112.75
67576|602|1|74|9|3|864512.32|-2852.05
357|1020|4|65|30|1|820974.45|2846.96
34360|1438|4|78|12|2|386219.08|5910.69
11632|1501|1|84|33|1|687794.17|-2573.08
21059|1026|2|100|44|3|702399.45|6270.44
73125|1559|1|41|8|3|197955.8|14993.34
7336|956|2|36|34|3|798665.84|-1114.68
2786|917|1|23|31|2|80590.97|-4286.01
19799|1296|3|14|28|3|566994.36|8680.82
37224|1450|1|25|24|1|680188.63|-1750.82
79461|1238|3|80|38|3|606986.7|6517.78
31378|191|2|17|10|1|98540.53|-4886.84
96644|151|5|57|17|2|794944.34|-4213.06
79278|165|1|81|28|3|740963.18|-4373.19
51308|1413|2|37|9|2|993789.63|-2034.56
40036|1066|5|47|2|3|27313.0|5195.29
3966|1014|2|35|8|2|327452.07|14970.88
53781|1309|5|85|48|3|630117.58|3954.23
44630|583|4|68|36|1|634881.87|-1322.88
80975|65|4|6|37|2|600768.73|9615.34
69875|374|3|23|47|1|25317.63|11175.93
15574|1478|3|98|16|3|876501.83|10843.76
64955|1572|4|4|26|2|165866.51|552.68
83131|432|2|22|39|3|296369.2|5599.05
49593|939|3|37|22|2|182022.98|-2574.75
98919|197|4|84|28|3|51268.77|8210.28
17333|574|3|26|25|1|362532.28|4898.9
43291|1120|2|79|15|3|633115.84|-1980.1
78843|649|3|76|50|1|987164.84|-4559.68
8113|1827|3|100|1|2|690492.84|1792.79
9634|1350|5|68|47|2|407842.75|2788.92
4683|494|1|35|19|3|661494.15|-3737.89
41236|217|2|46|2|1|843048.72|949.44
45263|116|5|11|14|2|357714.95|9523.16
58030|284|3|47|18|2|17619.25|6274.35
62361|914|1|83|41|1|704016.43|4685.71
31433|1771|5|92|4|1|589099.78|12630.36
86182|1775|1|36|34|3|501885.15|623.52
52567|666|1|73|29|1|3206.25|-3640.49
5126|255|1|52|35|3|592732.59|13998.86
91589|1729|3|15|10|3|398436.28|-1066.65
63402|541|2|28|11|1|946545.06|5312.71
42291|1654|4|43|33|2|617307.78|-3794.86
13512|1541|5|9|10|2|783886.88|7789.47
42187|1261|4|63|37|1|99320.12|8695.17
81761|566|3|44|36|2|893213.09|7353.96
87356|941|2|80|11|1|615587.79|3439.2
77762|892|4|91|35|2|916927.78|7013.13
38619|1193|4|50|3|3|753902.71|13776.49
96296|1563|1|41|38|1|116193.18|9364.68
53256|994|4|92|20|1|22692.89|1234.38
76597|927|3|33|28|1|755416.99|11083.76
53686|1503|1|83|45|3|519571.77|-191.56
21018|672|3|57|35|3|250428.31|8899.6
83465|1650|4|17|3|3|488458.34|-330.29
34778|598|3|87|20|2|993424.66|12811.38
28767|1028|4|83|32|1|99364.36|1195.0
25250|1594|1|45|15|1|67182.03|11537.85
27657|1658|4|55|49|3|479488.16|14402.35
27486|1823|4|15|35|1|213647.44|-4060.26
72554|857|1|94|10|3|65730.24|-3512.72
85783|1258|3|70|18|3|304220.14|1498.78
55850|1745|3|99|2|3|83130.73|11772.18
67950|129|5|87|12|1|644370.04|3839.91
28459|848|3|92|12|2|114045.35|-3898.91
82948|676|1|64|43|3|293539.87|11477.63
71520|174|1|27|20|3|81385.16|10298.77
65369|1565|1|83|36|1|528651.37|-3794.22
13915|1524|4|11|10|3|741455.4|-2241.28
57483|1539|5|70|12|1|161313.33|728.5
25955|1658|2|97|46|3|753075.52|7385.11
39497|428|3|61|24|1|247143.86|6001.08
89640|605|1|91|5|1|781227.56|-994.25
6308|198|5|62|20|2|445306.15|8108.05
58025|1824|5|53|41|3|90190.09|596.08
9145|492|1|22|17|3|539095.57|3206.99
42715|375|3|59|15|1|711884.19|9636.59
73479|587|3|76|47|1|496754.5|-3489.65
23463|1605|4|88|17|1|709734.3|8170.39
90993|1621|2|34|13|2|436133.91|-3405.96
84432|1079|1|4|47|1|363704.13|-1464.41
90511|1788|3|16|19|1|122015.6|5537.47
979|743|4|97|47|2|51834.06|14402.96
99585|115|1|57|45|3|931522.03|-2923.05
64761|502|2|46|10|3|296512.5|2512.25
603|5|5|17|31|2|91591.5|8303.63
22967|1681|5|62|23|2|479900.64|-3507.02
45286|668|5|59|40|2|703263.46|-2349.83
56466|156|1|65|41|2|354733.84|12171.12
8554|589|4|9|8|2|586927.16|9751.24
53037|850|3|30|3|2|360300.85|-2351.32
69246|1083|2|70|44|1|833435.14|-2813.07
30081|694|5|44|38|1|652293.29|-3340.33
83682|525|3|40|18|2|567739.39|14302.27
41424|67|2|39|16|3|366467.58|-2062.74
28081|1377|5|28|1|1|339537.46|12067.25
47451|596|3|40|10|3|380792.35|8386.07
55303|1298|2|52|36|2|798232.41|3896.4
45980|502|1|91|39|3|977152.2|-4350.9
52120|1299|1|53|1|2|251729.61|-3088.84
30253|1187|2|78|1|2|537708.46|1149.0
36838|38|1|67|4|3|52007.24|6257.45
40381|1397|5|74|12|1|58849.26|14861.52
27940|659|2|35|38|2|844774.54|-2900.84
41679|485|1|95|39|3|47022.32|-1682.0
17392|95|3|2|7|1|531159.34|-2119.92
95590|471|3|64|29|1|736219.33|-2861.81
72350|180|1|47|26|1|517170.78|5410.8
54942|773|1|79|3|2|140752.49|13498.84
28747|520|2|100|26|3|403143.61|10470.56
70614|833|2|69|21|2|242080.47|5078.37
47064|1297|3|53|23|2|534020.62|5480.75
50755|1309|5|41|41|3|303665.04|11675.86
69622|1194|4|41|37|2|723838.57|12657.51
37061|946|4|49|30|2|216628.69|7997.62
17924|1681|3|17|7|2|825162.55|8782.02
83301|382|5|41|26|2|970337.93|13564.88
57536|421|3|30|3|1|335516.57|2666.4
81737|511|2|51|18|3|649501.3|7290.97
65418|1713|4|84|48|3|802083.89|-2570.3
81057|10|2|39|8|1|417478.71|14022.55
44095|1073|3|63|14|1|393390.57|-566.82
56257|1359|2|42|20|1|83674.72|13958.5
14893|1819|2|3|3|1|205818.17|12482.43
62790|33|3|95|23|1|581103.37|12114.73
10566|429|4|95|45|1|739628.16|11340.71
26125|76|5|66|4|3|870900.55|10221.65
9627|180|3|14|34|1|922999.94|-4688.13
45707|944|4|27|8|3|116602.69|10264.53
8028|259|5|2|32|2|714758.49|6891.53
70159|829|4|68|11|1|585950.32|1708.89
61930|6|4|36|8|1|861394.1|3458.51
90726|1267|2|52|2|3|252587.53|-4562.74
25981|817|2|75|46|1|482352.92|9033.86
58915|1040|4|60|27|3|758083.63|2234.04
54498|288|4|12|15|1|521237.47|-4917.68
88415|930|3|37|48|3|724212.25|9200.54
58332|710|4|52|6|3|782464.29|-458.05
5790|866|4|80|44|3|298399.44|4310.84
88038|184|2|27|26|1|436074.78|13561.31
67|1656|3|36|39|2|321958.03|7638.51
18605|1538|2|100|31|2|340648.68|6119.49
41050|1506|5|31|6|2|65612.3|568.48
58510|1174|1|2|11|3|913442.4|9912.45
39175|1497|1|96|39|1|8873.65|-3490.76
92129|1372|2|99|32|2|632458.46|-1840.78
41402|1433|4|36|25|3|951408.1|10924.29
1877|66|5|98|34|1|248247.79|11036.92
69346|500|4|90|34|1|960233.28|6520.82
12142|1156|1|88|48|2|206023.16|9571.23
72764|401|1|38|26|1|93079.4|13437.18
37221|757|5|8|32|1|931183.06|-1907.94
88951|1570|2|3|1|1|621842.9|-3806.13
64720|1430|3|70|7|1|951821.57|8019.75
64713|311|5|43|49|2|789034.76|3468.05
20987|202|5|67|19|1|949887.05|994.12
89063|1623|2|80|24|3|727689.26|9395.12
53479|1382|3|55|11|3|686038.02|12108.45
81974|29|2|94|10|3|495680.34|-2557.05
9094|1126|4|95|6|2|895502.79|10197.82
91319|1791|5|76|15|2|783993.89|-3646.92
13806|733|4|94|17|3|445184.53|3538.86
66124|859|3|6|14|2|581089.29|-3876.19
95725|289|2|58|42|2|794059.64|11470.56
10471|287|1|7|43|1|516023.8|-2555.27
84617|1561|3|88|37|3|705589.1|4688.64
92806|961|3|15|2|2|557233.12|9902.75
78159|1586|4|1|28|2|544733.35|9081.99
4853|474|2|80|39|2|602320.79|13423.69
75975|1598|5|6|50|1|388413.11|2763.51
41479|1315|2|79|33|2|464459.55|-1875.22
23571|645|3|85|31|3|171295.99|-954.69
81526|1275|3|77|45|3|47600.12|8143.45
69381|291|1|27|1|1|470581.01|-4216.46
93001|1026|1|81|18|3|531665.16|-3252.57
14747|66|3|67|30|1|752086.41|-2954.84
25703|1798|3|25|14|3|714709.86|4110.31
67734|1145|4|90|44|2|101888.55|3350.05
58486|688|2|6|36|2|477403.72|-1150.02
92143|284|2|21|44|3|994626.21|3048.44
50152|1036|5|66|44|3|33609.29|600.7
473|494|3|87|45|1|665800.54|8286.96
56599|148|4|34|23|1|626843.11|-3871.24
89273|1439|2|72|11|2|2493.76|10512.55
25657|1350|4|97|1|1|632769.81|-1649.13
3036|1677|3|65|30|1|25323.81|-137.08
83649|1809|4|51|1|3|194436.3|-84.88
11250|151|2|65|48|2|289090.85|11570.54
78341|1183|2|29|3|2|108708.78|-3449.07
90529|976|3|75|8|1|335823.67|5144.52
76234|720|1|14|25|2|294280.95|13291.82
4093|1155|4|27|49|2|291494.35|10301.4
17488|207|5|2|34|3|576184.46|8793.03
16159|58|5|91|50|2|170205.05|-4241.01
32885|684|4|66|6|2|616102.15|14741.03
54332|1510|4|65|41|2|84841.41|9267.8
67432|1790|4|46|26|3|784808.6|418.79
33631|798|1|17|19|3|976900.62|9474.13
28239|448|1|35|23|3|285057.95|-3495.94
55147|1481|1|91|16|1|448610.62|-4194.49
65305|1650|3|96|46|3|73295.76|9829.14
50512|86|3|17|16|1|17031.03|5579.15
89240|839|3|48|1|2|139465.18|-2140.13
72319|1709|2|17|16|3|447913.13|-4561.36
36954|288|2|96|4|1|898598.89|3958.53
5553|990|4|74|50|3|561385.28|-713.54
99446|963|5|4|39|2|146140.3|8762.26
86984|254|4|17|32|3|382755.07|-2985.92
99391|511|5|76|4|1|740634.83|-4634.14
72965|500|4|7|21|2|933081.84|-1370.94
83653|554|2|49|13|3|771523.67|-3413.96
92050|61|1|84|36|3|90774.86|9790.01
52310|889|5|57|6|1|937507.69|6782.93
44900|1063|3|13|18|2|713324.97|11438.85
68766|1692|3|55|18|3|888644.76|1965.55
