loan_fact_id|date_id|loan_id|account_id|location_id|currency_id|loan_amount|loan_status
99174|1648|20|40|4|3|499579.39|Rejected
79554|677|5|6|20|3|168990.87|Approved
85888|1820|4|71|31|1|296216.82|Pending
82277|177|29|83|28|3|444084.71|Approved
51628|1154|41|12|18|1|210671.36|Pending
97100|962|28|95|17|1|235543.19|Approved
68651|237|30|40|5|2|382406.52|Approved
13305|1543|10|46|35|3|419310.61|Rejected
78445|1444|23|85|23|1|73559.52|Rejected
29804|549|45|21|47|2|430220.77|Approved
63658|1093|41|97|32|3|316344.38|Rejected
38807|1470|47|95|5|3|130364.53|Pending
32690|981|9|75|20|3|85453.13|Approved
10685|332|43|20|12|1|119323.82|Rejected
39768|1088|18|58|45|1|246573.9|Pending
52175|389|19|38|36|1|288529.49|Approved
30286|1338|22|34|50|3|386521.26|Rejected
5761|1156|18|55|18|1|126888.01|Rejected
94287|260|7|33|34|3|112156.24|Rejected
93562|605|44|81|38|1|6577.56|Pending
78921|35|7|68|25|3|83400.06|Pending
2449|1157|44|76|6|1|215606.3|Rejected
40657|153|43|12|26|3|420442.05|Pending
96963|12|2|64|2|3|308310.2|Pending
23876|1272|31|86|32|1|454127.59|Pending
48452|1055|16|4|35|2|49114.08|Approved
16130|1734|19|75|14|3|254816.98|Rejected
79700|447|40|1|40|2|383517.39|Approved
85246|1776|13|62|8|1|221698.87|Approved
84322|55|9|29|13|1|34196.77|Approved
16734|485|24|94|37|1|137622.64|Approved
51937|1402|22|4|27|3|72167.95|Approved
47839|1304|45|86|17|2|50761.71|Approved
69132|1713|22|96|14|3|365511.81|Approved
94295|201|45|22|11|3|10263.3|Rejected
13607|1107|40|39|37|3|324466.76|Approved
85960|597|19|7|4|3|353227.86|Pending
9177|757|5|71|37|1|375544.64|Pending
18771|1097|18|25|4|3|367890.55|Pending
20824|1329|7|67|14|3|208880.82|Rejected
92066|979|31|38|21|2|30334.04|Approved
85756|200|20|97|25|2|334313.06|Approved
42468|259|40|65|20|1|178681.27|Pending
31842|857|6|26|35|2|308146.19|Approved
94599|286|17|92|30|1|259961.53|Rejected
26593|294|28|93|24|3|234875.78|Approved
73720|1464|38|72|49|3|363800.18|Rejected
41714|1529|45|71|47|3|203959.21|Rejected
32706|1207|17|2|23|1|476396.71|Pending
58479|1136|20|92|36|1|171977.29|Rejected
55957|60|6|2|25|1|354677.34|Pending
82075|837|38|11|35|3|496554.44|Rejected
76268|476|37|65|42|1|47797.06|Pending
92160|1825|2|71|22|3|177432.28|Approved
