transaction_id|date_id|transaction_type_id|account_id|channel_id|location_id|currency_id|transaction_amount|transaction_status
50400|1783|3|100|1|50|1|1899.07|Completed
94903|1652|2|95|4|9|3|5042.68|Failed
83827|1720|2|19|5|16|1|3856.76|Pending
75822|1133|3|54|2|22|1|1281.05|Completed
30761|1447|2|12|3|6|1|6901.58|Pending
94695|179|3|35|2|21|2|1775.52|Failed
3133|807|4|9|2|49|3|470.43|Completed
37916|1430|4|72|2|15|3|3279.7|Failed
51079|1047|3|64|4|12|1|6162.8|Completed
28634|317|4|73|2|30|1|615.15|Completed
50966|684|2|27|1|21|1|7094.8|Pending
80621|6|1|65|5|35|1|2786.98|Failed
75115|1629|3|68|2|27|3|9755.55|Pending
6031|570|1|35|1|2|2|425.27|Failed
58605|39|2|100|1|24|1|1020.97|Completed
66553|1297|2|81|1|38|3|5652.02|Pending
24083|1324|4|5|2|31|3|3888.81|Completed
88048|916|1|9|3|44|1|8982.02|Completed
13462|102|4|11|4|4|3|7887.85|Pending
18039|592|1|43|2|38|2|117.19|Failed
47074|132|3|88|1|30|2|8470.69|Pending
22898|11|2|38|1|30|2|8192.78|Failed
48230|106|2|25|2|16|1|5057.3|Completed
17283|402|2|47|5|19|1|7693.44|Pending
38584|887|2|73|3|41|1|5511.19|Pending
83757|133|3|53|5|9|1|8668.53|Pending
11811|1022|4|89|2|5|2|7574.91|Completed
7802|633|2|11|3|25|3|7432.45|Failed
58026|891|4|6|1|47|2|4502.65|Completed
50366|823|3|4|2|46|1|8471.76|Pending
6291|1296|2|1|4|18|2|7277.79|Failed
13320|1023|1|70|3|23|1|2509.68|Completed
377|571|1|91|3|14|1|938.62|Completed
51787|798|4|50|3|50|3|745.43|Failed
31125|1416|3|78|4|17|1|9863.26|Failed
6744|807|3|31|4|28|1|9319.66|Failed
65290|1330|2|57|2|11|3|874.19|Failed
57623|1028|2|67|3|29|1|2691.1|Completed
22217|444|1|13|4|15|2|8805.46|Pending
70307|1717|3|93|3|43|1|1354.47|Completed
28371|143|4|100|3|5|1|9143.12|Failed
8332|462|4|47|1|3|1|6179.09|Failed
75765|1284|1|92|2|1|2|8018.87|Failed
24610|284|3|61|5|20|1|8062.65|Failed
5098|549|3|30|2|14|2|2344.98|Pending
58752|1697|1|32|5|16|2|3328.44|Failed
17234|1741|3|99|4|38|2|4238.74|Failed
81775|870|3|78|3|23|2|1597.9|Failed
81901|1760|4|76|1|21|3|5093.05|Failed
9983|231|3|95|5|23|3|4521.49|Pending
70236|1595|4|57|4|27|3|9477.54|Pending
54077|211|4|31|3|23|1|1040.56|Completed
12842|509|4|76|2|48|3|5877.84|Failed
84675|489|2|47|2|7|2|2373.9|Pending
95443|744|1|17|2|34|2|3294.94|Failed
94031|825|4|97|5|16|2|1815.56|Completed
77041|1492|2|79|3|3|3|2971.73|Failed
14297|1288|2|7|1|12|2|1815.3|Failed
81772|101|2|74|4|2|2|3089.94|Completed
87548|982|4|4|1|15|1|2119.19|Completed
16318|915|2|36|1|20|3|3486.14|Failed
57288|1534|2|4|4|15|2|3571.2|Pending
36549|674|2|31|3|33|3|5795.08|Failed
19407|594|1|27|5|27|3|2077.93|Pending
49198|854|3|5|1|14|1|4902.85|Pending
67446|1254|2|31|5|41|2|6722.36|Failed
37384|925|3|77|1|41|3|251.34|Pending
4562|13|1|52|2|6|2|2566.17|Failed
68826|147|3|6|5|48|1|2030.21|Completed
16168|1546|4|47|4|49|2|8873.05|Failed
52340|1714|3|65|2|40|1|366.56|Completed
58161|72|1|53|4|13|3|8892.44|Failed
61356|1663|1|35|2|42|3|902.25|Completed
59655|236|2|95|2|11|2|9739.61|Failed
80917|1553|4|33|2|24|3|3255.03|Failed
19418|1797|2|90|4|19|1|7787.95|Failed
22298|47|4|67|5|30|2|7953.24|Pending
4633|90|3|41|3|49|3|1589.3|Failed
84811|14|2|19|1|15|3|8173.57|Completed
29266|806|1|74|2|32|3|8156.32|Pending
12989|169|4|7|3|10|3|3932.46|Failed
95324|261|4|63|4|45|2|3471.43|Failed
90781|1640|4|58|1|1|1|1195.65|Pending
40685|1633|2|27|4|29|1|2121.44|Pending
63307|1741|1|28|4|38|3|6789.6|Pending
77395|1388|4|24|2|38|2|6441.88|Failed
